class,correct,total,accuracy
bakorkhani,11,14,78.57142857142857
bangladeshi_biryani,36,37,97.2972972972973
beguni,40,40,100.0
chickpea_curry,11,12,91.66666666666666
egg_omelette,75,77,97.40259740259741
fuchka,26,27,96.29629629629629
haleem,30,36,83.33333333333334
hilsa_fish,42,44,95.45454545454545
kacha_golla,18,21,85.71428571428571
kala_bhuna,13,18,72.22222222222221
kebab,57,62,91.93548387096774
khichuri,34,38,89.47368421052632
morog_polao,11,18,61.111111111111114
nehari,26,32,81.25
paratha,23,28,82.14285714285714
potato_bhorta,18,21,85.71428571428571
roshgolla,44,48,91.66666666666666
roshmalai,25,26,96.15384615384616
sweet_yogurt,36,38,94.73684210526315
bhapa_pitha,45,45,100.0
chitoi_pitha,39,45,86.66666666666667
jamai_pitha,37,45,82.22222222222221
nakshi_pitha,37,45,82.22222222222221
naru,44,44,100.0
patishapta_pitha,45,45,100.0
puli_pitha,40,45,88.88888888888889
teler_pitha,42,45,93.33333333333333
